0:0:0:0:0:0:0:1 - - [14/Feb/2025:14:15:23 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=asc HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [14/Feb/2025:14:15:23 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=asc HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [14/Feb/2025:14:15:25 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=asc HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [14/Feb/2025:14:15:26 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=dsc HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [14/Feb/2025:14:15:27 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=asc HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [14/Feb/2025:14:15:27 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=dsc HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [14/Feb/2025:14:16:25 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=dsc HTTP/1.1" 200 2432
0:0:0:0:0:0:0:1 - - [14/Feb/2025:14:16:58 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=dsc HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [14/Feb/2025:14:16:59 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=asc HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [14/Feb/2025:14:17:00 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=asc HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [14/Feb/2025:14:17:13 +0530] "GET /webTestEmp/depts?operation=sorting&filed=name&sortby=asc HTTP/1.1" 200 2428
